端口,板块,功能点,详细功能描述,功能逻辑,备注
教师端,证书与考务,达标学员发证提名,对满足结业/考试合格学员发起提名,校验发证规则 → 提交『待签发』队列 → 含学员名单/课程/成绩字段,P0
教师端,证书与考务,证书信息校对,核对证书姓名/课程/成绩等字段（4 语言姓名）,支持批量编辑 → 信息错误打回学员补全；俄语/乌语姓名转写规范化（如 Aliyev / Алиев）,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
教师端,证书与考务,批量签发执行,教务审批后教师一键确认生成证书,校验编号唯一性 → 调用证书生成服务 → Telegram 通知学员,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
教师端,证书与考务,待补发处理,处理学员补发申请,审核理由 → 上报总部 → 通过后生成新编号、原编号作废,P1
教师端,证书与考务,考试场次维护,维护教师负责的考试场次,新建/编辑/取消场次 → 与考试中心同步,P0
教师端,证书与考务,阅卷任务,认领并完成主观题阅卷,教研按规则分配阅卷 → 教师在线打分 + 批注 → 提交后写入成绩,P0
教师端,证书与考务,监考异常处理,处理监考异常日志,查看异常记录 → 强制收卷/给予警告 → 留痕审计,P0
教师端,分销(教师侧),分销准入与协议,教师申请分销资格并签订电子协议,提交申请 → 分店初审 → 总部审批 → 电子协议存档,P1
教师端,分销(教师侧),分销物料获取,生成 Telegram 短链/二维码/海报,海报含教师专属推荐码 → 推广路径全程可追溯,P1；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
教师端,分销(教师侧),我的分销业绩,查看带来的线索/成单/预估佣金/结算状态（UZS）,按 T+1 同步 → 退款联动冲减,P1
教师端,分销(教师侧),永久绑定关系,教师拉新学员与教师永久绑定,学员/家长归属教师 → 后续自购/续费仍归属此教师,P0；Email + Telegram chat_id + Device ID(IDFA/AAID) 多因子绑定；绑定关系永久保留，仅总部审核可解绑
教师端,分销(教师侧),Payme/Click 提现,教师分销佣金通过 Payme / Click 商户提现,对接 Payme/Click Payout API → 校验银行卡 / 卡组织（Humo/Uzcard）→ 单笔与日累计限额 → T+N 结算,P1；本地通道提现
教师端,AI 教学助手(教师视角),AI 备课助手,基于知识库生成备课大纲与题库（4 语言）,选择课程章节 → 调用 RAG → 输出大纲/讲义/题目 → 教师二次加工,P1；OpenAI/Claude/Gemini；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
教师端,AI 教学助手(教师视角),AI 学情诊断,AI 给班级薄弱点诊断,综合考试/作业/AI 问答数据 → 输出薄弱知识点 + 推荐补救资源,P1
教师端,教师业绩与奖惩,我的 KPI,查看本人 KPI：新生数/续费率/转化率等,总后台下发 → 实时进度展示 → 距离达成差距标示,P0
教师端,教师业绩与奖惩,奖惩记录,查看奖惩历史与原因（金额 UZS）,奖金/排名/曝光/扣减/降级/预警等记录可追溯,P0
教师端,教师业绩与奖惩,申诉入口,对奖惩结果申诉,提交申诉 → 店长初审 → 总部复核 → 结果回写,P1
分店教务端,学员档案管理,新增学员档案,录入新学员基础信息,校验 Email 唯一 → 默认绑定到当前分店和接待教师 → 永久绑定写入,P0；Email + Telegram chat_id + Device ID(IDFA/AAID) 多因子绑定；绑定关系永久保留，仅总部审核可解绑
分店教务端,学员档案管理,学员档案查询,按 Email/姓名/课程检索学员,支持模糊匹配与组合筛选 → 跨分店查询需总部授权,P0
分店教务端,学员档案管理,学员转分店申请,学员申请转分店,提交申请 → 原分店店长会签 → 总部审核 → 通过后变更绑定（永久关系审计留痕）,P1；Email + Telegram chat_id + Device ID(IDFA/AAID) 多因子绑定；绑定关系永久保留，仅总部审核可解绑
分店教务端,学员档案管理,绑定关系变更审计,查看学员绑定变更历史,变更人/时间/原因/审批链 → 不可删除,P0
分店教务端,排课与课表管理,班级管理,创建/编辑/解散班级,班级要素：课程/教师/教室或直播间/学员名单/起止时间,P0
分店教务端,排课与课表管理,排课计划,生成班级排课计划（Asia/Tashkent）,支持按周/按月批量排课 → 冲突自动检测,P0；全局时区 Asia/Tashkent (UTC+5)
分店教务端,排课与课表管理,教室/直播间分配,为线下班分配教室、线上班分配直播间,教室预订冲突告警 → 直播间根据并发上限分配（Agora/100ms/LiveKit）,P0
分店教务端,排课与课表管理,调课审批,审批教师调课/请假申请,支持二级审批：教务初审 → 店长终审 → 通过后通知相关方,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
分店教务端,排课与课表管理,课表分发,课表同步给学员/家长/教师,更新后自动 Telegram 推送变更摘要（按收件人语言）,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
分店教务端,招生与试听,线索管理,录入/分配/跟进招生线索,线索来源标记（自然到访/广告/分销/转介绍）→ 默认归属第一接待教师,P0；Email + Telegram chat_id + Device ID(IDFA/AAID) 多因子绑定；绑定关系永久保留，仅总部审核可解绑
分店教务端,招生与试听,试听排课,为意向客户安排试听课,选择课程/教师/时间 → 通知客户 → 试听后转化回写,P0
分店教务端,招生与试听,试听转化漏斗,查看试听到成交的转化数据,漏斗：线索-意向-试听-报名-成交 → 每环节转化率展示,P0
分店教务端,订单与售后,订单查询,查询本分店订单与状态（金额 UZS）,按状态/时间/课程筛选 → 异常订单红色高亮,P0
分店教务端,订单与售后,退款审批,审批学员退款申请,校验退款政策 → 教务初审 → 财务复核 → 触发 Payme/Click 原路退款 + 分销佣金冲减,P0
分店教务端,订单与售后,补开发票,为历史订单补开发票（QQS 12%）,按乌兹别克税务格式生成 PDF → Email 推送下载链接,P1；按乌兹别克 QQS 12% 增值税口径生成（具体税率以法务确认为准）
分店教务端,订单与售后,订单异常处理,处理重复支付/卡单/超时未发货等异常,工单驱动 → 流水核对（Payme/Click 对账）→ 财务复核 → 留痕审计,P0
分店教务端,证书初审与发放,待发证审核,审核教师提交的发证提名,查看提名详情 → 通过/驳回（含原因）→ 通过后流转至总部签发,P0
分店教务端,证书初审与发放,证书发放记录,查询本分店签发证书记录,按学员/课程/时间筛选 → 含编号、签发人、签发时间,P0
分店教务端,证书初审与发放,证书争议处理,处理学员的证书申诉,认领申诉 → 初审 → 上报总部双人复核 → 结果回写,P1
分店教务端,续费与催费,续费名单,查看即将到期/已到期未续费名单,30/7/1 天分级展示 → 一键发起催费任务,P0
分店教务端,续费与催费,催费任务,向教师/分销员派发催费任务,支持 Telegram 模板群发（4 语言）→ 任务完成回写,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
分店教务端,续费与催费,续费看板,本分店续费率与同比环比（金额 UZS）,支持按教师/课程/班级钻取,P0
分店教务端,考试组织,分店考场维护,维护线下考场及监考人员,教室容量/设备/监考分配 → 与考试中心同步,P0
分店教务端,考试组织,名单准入,维护参考学员名单,校验出勤/作业满足度 → 不符合者由教师特批,P0
分店教务端,考试组织,成绩核对,核对本分店学员成绩,异常成绩二次复核 → 报总部备案,P0
分店教务端,客服与投诉,AI 客服转人工接入,接收 AI 客服转人工的会话,排队队列 → 客服认领 → SLA 计时 → 满意度回收；语言分流 ru/uz,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
分店教务端,客服与投诉,投诉工单处理,处理学员/家长投诉,工单分级：紧急/重要/普通 → 处理时限可配置 → 超时 Telegram 督办,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
分店教务端,分销员管理(分店),分店分销员名单,查看本分店分销员,含教师分销员与学员分销员 → 业绩排名,P1
分店教务端,分销员管理(分店),分销员业绩核对,核对分销线索归因与业绩,支持申诉与举证 → 进入反作弊队列,P1
分店教务端,本店报表,分店日报,每日运营摘要,每日 08:00 (Asia/Tashkent) 自动生成并 Telegram 推送店长/区域经理,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底；全局时区 Asia/Tashkent (UTC+5)
分店教务端,本店报表,分店周报/月报,运营周/月报,招生/成交（UZS）/续费/学情/客服满意度多维度,P0
店长端,分店运营驾驶舱,运营总览,本店关键指标卡片（金额 UZS）,新生数/成交额/续费率/试听转化率/客服满意度/教师达成率,P0
店长端,分店运营驾驶舱,趋势对比,本店指标同环比,支持按日/周/月/季度对比（Asia/Tashkent）→ 异常标红,P0；全局时区 Asia/Tashkent (UTC+5)
店长端,招生计划与目标进度,OKR 进度看板,查看总部下达的 OKR 进度,目标 vs 实绩 → 进度条 + 序时进度差异提示,P0
店长端,招生计划与目标进度,目标分解到教师,店长把分店目标二次分解到教师,导入教师 → 设置个人目标 → 自动汇总 → 调整需总部备案,P0
店长端,招生计划与目标进度,低于序时进度告警,低于序时进度自动督办,阈值可配（默认 -10%）→ 触发 Telegram 通知店长/区域经理,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
店长端,教师业绩与排名,教师业绩排行,本店教师业绩排名,维度可切换：新生数/续费率/转化率/学员满意度,P0
店长端,教师业绩与排名,教师业绩明细,下钻查看单个教师明细,含拉新/成交/续费/学员评分,P0
店长端,续费看板(店长),续费率与到期名单,本店续费看板,30/7/1 天到期名单一键导出 → 督办状态实时同步,P0
店长端,督办任务管理,待办任务列表,查看分配给本店的督办任务,支持按紧急程度/到期时间排序,P0
店长端,督办任务管理,任务认领与回执,认领/处理/回执任务,处理结果 + 凭证截图回写 → 总部复核,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
店长端,财务概览(本店),本店应收/已收,本店财务概览（UZS）,应收/已收/退款/可分销结算 → 支持导出 Excel,P0
店长端,团队与奖惩,人员管理,维护本店教师与教务,新增/转岗/离职 → 与总后台同步,P0
店长端,团队与奖惩,奖惩执行查看,查看团队奖惩执行情况（UZS）,奖金发放/扣减/排名变化,P0
店长端,团队与奖惩,申诉复核,复核教师/分销员奖惩申诉,店长初审 → 总部终审,P1
总后台,组织架构与分店管理,集团组织树,维护集团-区域-分店组织树,支持多层级 → 与角色/权限联动,P0
总后台,组织架构与分店管理,分店档案,新增/编辑/停用分店（含乌兹别克州/市信息）,含分店基础信息、合规资质、负责人；地区下拉：12 个州 + 卡拉卡尔帕克斯坦 + 塔什干市,P0
总后台,组织架构与分店管理,区域经理设置,为区域指派区域经理,区域经理权限范围限定所辖分店,P0
总后台,招生计划与目标下达,年度/季度计划,设置集团整体新生、试听、转化、营收目标（UZS）,支持目标版本管理与历史回溯,P0
总后台,招生计划与目标下达,分店目标下达,为每分店设置新生数/成交额/试听转化率/续费率/分销 ROI,按 OKR/KPI 模板批量下发 → 支持单店个性化,P0
总后台,招生计划与目标下达,目标分解口径,定义统计口径,线索归属店、跨店成交分摊比例、分销单是否计入、退款冲减口径，等等,P0；强需求
总后台,招生计划与目标下达,达成预警与督办,进度低于序时自动督办,默认阈值 -10% → Telegram 通知店长/区域经理 → 督办任务自动生成,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
总后台,招生计划与目标下达,目标版本对比,支持目标修订与版本对比,调整需总部审核 → 全程留痕,P1
总后台,奖惩机制配置,目标设置,为分店/店长/教师/分销员设置目标,覆盖新生数/成交额/转化率/续费率/分销 ROI 等,P0
总后台,奖惩机制配置,进度统计口径,定义奖惩进度的统计口径,与招生目标口径一致 → 数据源同源,P0
总后台,奖惩机制配置,达标判定规则,达标/超额/未达档位规则,支持档位：未达 / 达成 / 超额 ≥110% / 超额 ≥130% 等可配置,P0
总后台,奖惩机制配置,奖励发放规则,奖励规则配置：奖金（UZS）/排名/曝光,支持定额/比例/阶梯/封顶 → 与财务结算联动,P0
总后台,奖惩机制配置,惩罚动作规则,惩罚规则：扣减/降级/预警,可配置扣减比例与降级路径 → 触发后人工复核可豁免,P0
总后台,奖惩机制配置,自动结算,周期到达自动计算奖惩并预生成结算单,支持周/月/季/年（Asia/Tashkent）；预生成后由总部复核生效,P0；全局时区 Asia/Tashkent (UTC+5)
总后台,奖惩机制配置,申诉与复核,受罚方申诉与双人复核,受罚人提申诉 → 店长初审 → 总部双人复核 → 结果回写,P0
总后台,奖惩机制配置,奖惩历史档案,查看任意对象的奖惩历史,支持导出审计报表,P1
总后台,课程内容管理,课程创建,创建课程主数据（4 语言名称/简介）,课程要素：名称(4 语言)/分类/简介/讲师/试听片段/价格策略(UZS)/有效期,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
总后台,课程内容管理,章节管理,章节树管理与排序,支持多级章节 → 拖拽排序,P0
总后台,课程内容管理,视频上传与转码,上传视频并自动转码多清晰度,AWS S3 直传 → MediaConvert 转码 360p/480p/720p/1080p → CloudFront 分发 → 备选 Mux / Bunny CDN（CIS 地区表现好）,P0；AWS
总后台,课程内容管理,资料附件管理,上传课件/PPT/讲义/题包（多语言版本）,支持版本管理与上下架；同一资料可上传 ru/uz/en/zh 多版本,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
总后台,课程内容管理,课程价格策略,原价/会员价/分销价/拼团价/优惠区间（UZS）,支持区域/渠道差异化定价 → 与营销中心联动,P0
总后台,课程内容管理,课程上下架,课程上架/下架/置灰,下架后已购学员仍可学，但新人不可见,P0
总后台,课程内容管理,试听片段配置,为课程配置试听片段（5-15 分钟）,支持自定义切片 → 上线前预览,P0
总后台,课程内容管理,字幕自动生成,录播/回放自动生成 4 语言字幕,AWS Transcribe / OpenAI Whisper 转写源语 → DeepL/Google 翻译到其它 3 语 → 字幕 VTT 文件存 S3 → 课程详情可挂载,P1；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
总后台,考试中心(总后台),题库录入,维护题库（4 语言题目）,支持批量导入 Excel → 自动校验唯一性；题干/选项/解析支持 4 语言版本,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
总后台,考试中心(总后台),知识点标签,维护知识点标签树,标签可挂题 → 用于雷达图与学情分析,P0
总后台,考试中心(总后台),组卷策略,固定卷/随机卷/按知识点组卷,随机卷可设题量、难度配比、防雷同,P0
总后台,考试中心(总后台),考场创建,创建考场（线上/线下；Asia/Tashkent）,时长/开放窗口/参考名单/阅卷人/监考人,P0；全局时区 Asia/Tashkent (UTC+5)
总后台,考试中心(总后台),考试发布,审核并发布考场,发布后变更需总部审批 → 二次发布留痕,P0
总后台,考试中心(总后台),监考与异常日志,查看监考异常并处理,异常等级：警告/可疑/重大 → 重大异常强制收卷 → 留痕,P0
总后台,考试中心(总后台),阅卷分配,分配阅卷人与策略,支持双评/三评/仲裁 → 误差超阈值自动仲裁,P0
总后台,考试中心(总后台),补考策略,补考次数、补考证书等级映射,未及格学员校验补考额度 → 教务审批后开放,P0
总后台,证书中心-模板与规则,证书模板管理,维护结业/考试合格等证书模板（4 语言）,占位变量：姓名（4 语言转写规范）、课程、分数、日期、编号、签章；支持图片预览,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
总后台,证书中心-模板与规则,发证规则引擎,配置自动/半自动发证条件,条件维度：完成度/出勤率/考试分数/补考次数；支持组合表达式,P0
总后台,证书中心-模板与规则,考试与证书绑定,考试场次→证书等级映射,及格档/良好档/优秀档 → 不同证书等级,P0
总后台,证书中心-模板与规则,补考证书策略,补考通过证书是否标注,配置是否在证书显示『补考通过』字样,P1
总后台,证书中心-编号与审计,证书编号规则,全局唯一证书编号规则,规则：机构码(UZ) + 年份 + 流水 + 校验码（Luhn 或自定义算法）,P0
总后台,证书中心-编号与审计,防伪校验码,为每张证书生成校验码,公开校验页通过编号+校验码可验真（4 语言展示）,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
总后台,证书中心-编号与审计,签发与作废审计,记录签发人/时间/原因/导出,可导出审计报表 → 作废需双人复核可配置,P0
总后台,证书中心-编号与审计,待发证审核队列,审核教师/教务发起的发证提名,支持批量通过/驳回 → 驳回需填写原因,P0
总后台,证书中心-编号与审计,作废与重发,作废原证书并生成新编号,记录作废原因 → 原编号永久保留可查,P0
总后台,本地知识库(AI 学习助手),课程向量库管理,按课程/章节上传文档,支持 PDF/Word/Markdown → 切片策略（固定/语义）→ 嵌入模型版本管理（OpenAI text-embedding-3 / Cohere）,P0；依赖向量库 Pinecone/Weaviate/Qdrant/pgvector
总后台,本地知识库(AI 学习助手),索引重建,支持手动/定时重建索引,重建期间走旧索引兜底 → 完成后切换,P0
总后台,本地知识库(AI 学习助手),检索权限边界,定义学员可见片段与教师可扩展,权限：免费可见 / 已购可见 / 教师可见 / 内部可见；越权拦截,P0
总后台,本地知识库(AI 学习助手),回答安全策略,适龄过滤、禁答题库、引用必显开关（4 语言词库）,禁答词库维护 → 命中走安全话术 → 引用必显可分课程开关,P0；合规；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
总后台,本地知识库(AI 学习助手),效果评估,查看 AI 问答日均量、好评率、转人工率,支持下钻到课程/学员 → 用于知识库迭代,P1
总后台,AI 客服运营,客服 FAQ 知识库,维护退费/价目/政策/门店地址等 FAQ（4 语言）,结构化录入 → 多轮话术树 → 版本管理,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
总后台,AI 客服运营,话术树设计,多轮话术树可视化设计,节点：判断/回复/转人工/工单 → 在线发布,P1
总后台,AI 客服运营,坐席工作台,排队/认领/协同/内部备注/快捷回复,对接 Intercom 或 Freshdesk → 支持多坐席协同 → 内部转交带上下文 → ru/uz 客服分流,P0
总后台,AI 客服运营,质检与回流,抽样会话质检与优质回答入库,抽样比例可配 → 风控关键词命中强制人工复核,P0
总后台,AI 客服运营,SLA 与告警,客服响应 SLA 监控,超 SLA Telegram 推送店长/区域经理,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
总后台,分销中心,分销员准入与合同,教务/分店员工提交申请；总部审批；电子协议存档,审批流：分店初审 → 总部终审 → 电子签章存档（DocuSign / e-IMZO 待选）,P0
总后台,分销中心,商品与佣金规则,可选课程/SKU；首单/复购佣金（UZS）；阶梯/封顶,支持定额/比例 + 多档阶梯 + 单笔/月度封顶,P0
总后台,分销中心,结算周期 T+N 配置,佣金结算周期 N 可配置,默认 T+30；可按分销员/课程差异化,P0；N 取值待客户确认
总后台,分销中心,归因规则,首次访问/首单/续费的归因策略,首访归因窗口 30 天；自购、亲属 Email、异常团单识别为风险,P0
总后台,分销中心,反作弊,异常订单识别与佣金冻结,维度：自购/同 Email 域/同设备/异常退款率高 → 自动冻结 + 人工复核,P0
总后台,分销中心,佣金台账,佣金状态机：待确认/已确认/已支付（UZS）,状态变更需操作日志 → 退款自动冲减,P0
总后台,分销中心,结算与提现(Payme/Click),佣金结算单生成与 Payme/Click 商户提现,对接 Payme Payout / Click Merchant Payout → 校验银行卡 / Humo/Uzcard → 单笔与日累计限额 → T+N 结算,P0；本地通道
总后台,分销中心,分销报表,按人/店/渠道统计曝光/线索/成交/佣金/ROI（UZS）,支持时间窗口与多维度透视,P0
总后台,分销中心,永久绑定规则,学员/家长一旦绑定分销员永久绑定,自购/退费/跨店成交等异常场景由反作弊规则处理 → 解绑走总部审核,P0；Email + Telegram chat_id + Device ID(IDFA/AAID) 多因子绑定；绑定关系永久保留，仅总部审核可解绑
总后台,营销中心,优惠券中心,创建/编辑/停用优惠券（金额 UZS）,券类型：满减/折扣/兑换；适用范围、领取条件、互斥规则,P0
总后台,营销中心,拼团中心,创建拼团活动,拼团 SKU/人数/有效期/未满团退款 → 与订单中心联动,P0
总后台,营销中心,活动中心,创建多种营销活动,支持秒杀/限时折扣/早鸟价 → 时间窗口管理（Asia/Tashkent）,P1；全局时区 Asia/Tashkent (UTC+5)
总后台,营销中心,本地节假日营销日历,维护乌兹别克本地节假日营销日历,"节点：纳乌鲁孜节(Navruz, 3/21)、独立日(9/1)、开斋节(Eid al-Fitr)、宰牲节(Eid al-Adha)、宪法日(12/8)、新年等 → 模板与活动绑定",P0；本地化运营
总后台,营销中心,转介绍中心,设计转介绍奖励,推荐人/被推荐人奖励规则（UZS）→ 与永久绑定联动,P0
总后台,营销中心,Banner/Telegram Push 投放,学员端 Banner、Telegram Push 模板投放（4 语言）,支持人群圈选与 A/B 实验 → 模板按收件人语言选择,P1；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
总后台,数据看板与 BI,集团运营总览,集团关键指标驾驶舱（金额 UZS）,新生数/续费率/营收/分销 ROI/客服满意度 → 默认按月（Asia/Tashkent）,P0；全局时区 Asia/Tashkent (UTC+5)
总后台,数据看板与 BI,分店多维对比,分店对比看板,支持横向多店对比与排名,P0
总后台,数据看板与 BI,课程/教师维度,课程与教师业绩看板,课程销量/续费率/学员评分/完课率；教师同维度,P0
总后台,数据看板与 BI,漏斗分析,招生-试听-成交-续费漏斗,支持渠道维度下钻,P0
总后台,数据看板与 BI,分销 ROI,渠道/分销员 ROI 看板,曝光-点击-注册-成交-佣金（UZS）→ ROI 计算,P0
总后台,数据看板与 BI,学员进退步趋势(集团),集团/分店/班级/个人多层下钻,维度：成绩/出勤/作业/观看时长/掌握度；周/月对比；可视化：折线 + 雷达；阈值告警可配,P0；预警 Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
总后台,数据看板与 BI,Mixpanel / Amplitude / GA4 接入,前端埋点对接产品分析,事件命名规范 → SDK 接入 → 用户属性同步 → 仪表盘,P1
总后台,学员档案与永久绑定,学员档案视图,总部可查看全集团学员档案,支持跨分店搜索 → 受权限控制,P0
总后台,学员档案与永久绑定,绑定关系审计,查看任意学员的绑定历史,操作人/时间/原因/审批链 → 不可删除,P0；Email + Telegram chat_id + Device ID(IDFA/AAID) 多因子绑定；绑定关系永久保留，仅总部审核可解绑
总后台,学员档案与永久绑定,解绑审核,受理学员/家长解绑申请,总部审核唯一通道 → 双人复核 → 通过后写入新绑定,P0；Email + Telegram chat_id + Device ID(IDFA/AAID) 多因子绑定；绑定关系永久保留，仅总部审核可解绑
总后台,学员档案与永久绑定,反作弊归因,处理跨店成交、自购、刷单等异常归因,走分销中心反作弊规则 → 必要时人工裁决,P0
总后台,消息中心(Telegram 唯一),消息模板管理,维护各类业务模板（4 语言）,类型：续费/上课/报告/督办/客服/营销；变量占位；同一模板维护 ru/uz/en/zh 四份,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
总后台,消息中心(Telegram 唯一),Telegram Bot 接入,维护 Bot Token、群组、频道、机器人菜单,支持多 Bot 用于不同业务线 → 安全密钥管理（KMS）,P0；依赖 Telegram Bot
总后台,消息中心(Telegram 唯一),Telegram chat_id 验证流,用户绑定 Telegram chat_id 的后台流程,生成一次性 token → /verify 校验 → 写入 user_telegram 表 → 失败重发上限 3 次/小时,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
总后台,消息中心(Telegram 唯一),发送通道矩阵,通道优先级：Telegram → Email → APNs/FCM,通道开关与失败重试策略可配 → Telegram 优先；明确不接 SMS,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
总后台,消息中心(Telegram 唯一),发送日志,查看每条消息的发送结果,成功/失败/重试次数；支持按用户/类型/语言筛选,P0
总后台,消息中心(Telegram 唯一),失败重试与降级,失败时按策略重试与降级,Telegram 失败 3 次 → Email → APNs/FCM；写入失败原因,P0
总后台,消息中心(Telegram 唯一),Email 兜底通道,对接 SendGrid / AWS SES,DKIM/SPF/DMARC 配置 → 4 语言模板 → 退订链接,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
总后台,消息中心(Telegram 唯一),APNs/FCM 应用内推送,iOS APNs + Android FCM,设备 token 管理 → 静默推送 + 提示推送 → 按用户语言渲染,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
总后台,消息中心(Telegram 唯一),多语言模板渲染,按收件人语言偏好选择模板,用户偏好 > 用户地区 > 平台默认 ru,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
总后台,财务与结算,营收报表,集团/分店/课程营收报表（UZS）,支持日/周/月/季/年聚合（Asia/Tashkent）→ 导出 Excel,P0；全局时区 Asia/Tashkent (UTC+5)
总后台,财务与结算,退款台账,退款记录与原因分析,支持按分店/课程/教师筛选；含 Payme/Click 通道维度,P0
总后台,财务与结算,分销佣金结算单,生成佣金结算单与凭证,状态：待结算/已结算/已支付；导出 Payme/Click Payout 批扣文件,P0
总后台,财务与结算,奖惩资金流水,奖惩发放/扣减流水（UZS）,与人事系统对接（可选）,P1
总后台,财务与结算,发票管理(QQS 12%),乌兹别克 QQS 12% 增值税电子发票管理,按乌兹别克税务部门要求生成 PDF；红冲流程支持；具体税率与开票主体待法务确认,P1；按乌兹别克 QQS 12% 增值税口径生成（具体税率以法务确认为准）
总后台,财务与结算,Payme / Click 对账,与 Payme / Click 商户后台对账,每日定时拉取通道流水 → 与平台订单流水比对 → 差异工单,P0；通道对账
总后台,运营营销-Banner & Push,学员端 Banner 投放,在学员端配置 Banner 轮播位（4 语言）,支持人群圈选、时段、跳转链接、A/B 实验,P1；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
总后台,运营营销-Banner & Push,Telegram Push 任务,创建 Telegram 群发任务（4 语言模板）,人群圈选 + 模板 + 发送时间 + 失败重试策略,P1；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
总后台,运营营销-Banner & Push,活动效果分析,查看投放点击/转化/ROI（UZS）,归因到具体活动与人群,P1
系统后台,角色与权限,角色管理,维护学员/家长/教师/教务/店长/区域经理/总部管理员/财务/分销员等角色,角色继承与组合 → 同人多角色支持,P0
系统后台,角色与权限,权限矩阵,角色 × 资源 × 操作 三维权限矩阵,细到按钮级权限 → 支持数据级权限（仅看本店/本班）,P0
系统后台,角色与权限,员工账号管理,员工账号开通/停用/重置密码,停用时自动回收会话 token,P0
系统后台,操作审计,全局操作日志,记录所有关键操作,包含登录、订单变更、绑定变更、奖惩、证书签发、知识库变更等,P0
系统后台,操作审计,敏感操作告警,敏感操作触发实时告警,如批量解绑、批量作废证书等 → Telegram 通知总部安全员,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
系统后台,操作审计,审计报表导出,导出指定周期审计报表,支持加密压缩包导出,P1
系统后台,数据备份与恢复,自动备份策略,日全量 + 小时增量备份,保留 30 天近期 + 12 个月月备份；存于 AWS S3 跨可用区,P0；AWS
系统后台,数据备份与恢复,数据恢复演练,支持灾备恢复演练,季度演练 → 留痕,P1
系统后台,数据备份与恢复,数据本地化策略,依乌兹别克 ZRU-547 数据本地化要求评估,P0 缓解方案：AWS Frankfurt(eu-central-1) 或 Mumbai(ap-south-1) + 与本地合规方对接；若强制本地存储则评估本地 IDC；策略与备份分级落地,P0；合规风险，需法务确认
系统后台,系统参数,全局参数配置,维护全局可配参数,如 TG Bot Token、各类阈值、归因窗口、SLA 等,P0
系统后台,系统参数,功能开关,灰度功能开关,按分店/角色/百分比灰度,P1
系统后台,系统参数,环境与多语言,多环境与 4 语言配置,环境：开发/测试/灰度/生产；语言：ru / uz / en / zh-CN（默认 ru）,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
系统后台,系统参数,时区固定化,全局时区配置为 Asia/Tashkent (UTC+5),数据库 UTC 存储；展示/调度/统计统一 Asia/Tashkent,P0；全局时区 Asia/Tashkent (UTC+5)
系统后台,系统参数,货币固定化,全局货币 UZS 单币种,金额展示千分位（如 1 200 000 UZS）；远期扩区可加 RUB/USD（开关位预留）,P0；UZS
系统后台,三方对接管理,Telegram Bot 管理,管理 Bot Token / 群组 / Webhook / chat_id 验证流,Token 加密存储（AWS KMS）→ 操作需双因素认证,P0
