端口,板块,功能点,详细功能描述,功能逻辑,备注
分店教务端,证书初审与发放,待发证审核,审核教师提交的发证提名,查看提名详情 → 通过/驳回（含原因） → 通过后流转至总部签发,
分店教务端,证书初审与发放,证书发放记录,查询本分店签发证书记录,按学员/课程/时间筛选 → 含编号、签发人、签发时间,
分店教务端,证书初审与发放,证书争议处理,处理学员的证书申诉,认领申诉 → 初审 → 上报总部双人复核 → 结果同步更新显示,
分店教务端,续费与催费,续费名单,查看即将到期/已到期未续费名单,30/7/1 天分级展示 → 一键发起催费任务,
分店教务端,续费与催费,催费任务,向教师/分销员派发催费任务,支持 Telegram 模板群发（4 语言） → 任务完成同步更新显示,
分店教务端,续费与催费,续费看板,本分店续费率与同比环比（金额 乌兹别克苏姆）,支持按教师/课程/班级钻取,
分店教务端,考试组织,分店考场维护,维护线下考场及监考人员,教室容量/设备/监考分配 → 与考试中心同步,
分店教务端,考试组织,名单准入,维护参考学员名单,检查出勤/作业满足度 → 不符合者由教师特批,
分店教务端,考试组织,成绩核对,核对本分店学员成绩,异常成绩二次复核 → 报总部备案,
分店教务端,客服与投诉,AI 客服转人工接入,接收 AI 客服转人工的登录会话,排队队列 → 客服认领 → 服务承诺时限 计时 → 满意度回收；语言分流 俄/乌,
分店教务端,客服与投诉,投诉工单处理,处理学员/家长投诉,工单分级：紧急/重要/普通 → 处理时限可配置 → 超时 Telegram 督办,
分店教务端,分销员管理(分店),分店分销员名单,查看本分店分销员,含教师分销员与学员分销员 → 业绩排名,
分店教务端,分销员管理(分店),分销员业绩核对,核对分销线索归因与业绩,支持申诉与举证 → 进入反作弊队列,
分店教务端,本店报表,分店日报,每日运营摘要,每日 08:00 (塔什干时间（乌兹别克）) 自动生成并 Telegram 推送店长/区域经理,
分店教务端,本店报表,分店周报/月报,运营周/月报,招生/成交（乌兹别克苏姆）/续费/学情/客服满意度多维度,
店长端,分店运营驾驶舱,运营总览,本店关键指标卡片（金额 乌兹别克苏姆）,新生数/成交额/续费率/试听转化率/客服满意度/教师达成率,
店长端,分店运营驾驶舱,趋势对比,本店指标同环比,支持按日/周/月/季度对比（塔什干时间（乌兹别克）） → 异常标红,
店长端,招生计划与目标进度,目标与关键结果 进度看板,查看总部下达的 目标与关键结果 进度,目标 vs 实绩 → 进度条 + 序时进度差异提示,
店长端,招生计划与目标进度,目标分解到教师,店长把分店目标二次分解到教师,导入教师 → 设置个人目标 → 自动汇总 → 调整需总部备案,
店长端,招生计划与目标进度,低于序时进度告警,低于序时进度自动督办,阈值可配（默认 -10%） → 触发 Telegram 通知店长/区域经理,
店长端,教师业绩与排名,教师业绩排行,本店教师业绩排名,维度可切换：新生数/续费率/转化率/学员满意度,
店长端,教师业绩与排名,教师业绩明细,下钻查看单个教师明细,含拉新/成交/续费/学员评分,
店长端,续费看板(店长),续费率与到期名单,本店续费看板,30/7/1 天到期名单一键导出 → 督办状态实时同步,
店长端,督办任务管理,待办任务列表,查看分配给本店的督办任务,支持按紧急程度/到期时间排序,
店长端,督办任务管理,任务认领与回执,认领/处理/回执任务,处理结果 + 凭证截图同步更新显示 → 总部复核,
店长端,财务概览(本店),本店应收/已收,本店财务概览（乌兹别克苏姆）,应收/已收/退款/可分销结算 → 支持导出 Excel,
店长端,团队与奖惩,人员管理,维护本店教师与教务,新增/转岗/离职 → 与总后台同步,
店长端,团队与奖惩,奖惩执行查看,查看团队奖惩执行情况（乌兹别克苏姆）,奖金发放/扣减/排名变化,
店长端,团队与奖惩,申诉复核,复核教师/分销员奖惩申诉,店长初审 → 总部终审,
总后台,组织架构与分店管理,集团组织树,维护集团-区域-分店组织树,支持多层级 → 与角色/权限联动,
总后台,组织架构与分店管理,分店档案,新增/编辑/停用分店（含乌兹别克州/市信息）,含分店基础信息、合规资质、负责人；地区下拉：12 个州 + 卡拉卡尔帕克斯坦 + 塔什干市,
总后台,组织架构与分店管理,区域经理设置,为区域指派区域经理,区域经理权限范围限定所辖分店,
总后台,招生计划与目标下达,年度/季度计划,设置集团整体新生、试听、转化、营收目标（乌兹别克苏姆）,支持目标版本管理与历史回溯,
总后台,招生计划与目标下达,分店目标下达,为每分店设置新生数/成交额/试听转化率/续费率/分销 投入产出,按 目标与关键结果/关键指标 模板批量发送到 → 支持单店个性化,
总后台,招生计划与目标下达,目标分解口径,定义统计口径,线索归属店、跨店成交分摊比例、分销单是否计入、退款扣回口径，等等,
总后台,招生计划与目标下达,达成预警与督办,进度低于序时自动督办,默认阈值 -10% → Telegram 通知店长/区域经理 → 督办任务自动生成,
总后台,招生计划与目标下达,目标版本对比,支持目标修订与版本对比,调整需总部审核 → 全程记录备查,
总后台,奖惩机制配置,目标设置,为分店/店长/教师/分销员设置目标,覆盖新生数/成交额/转化率/续费率/分销 投入产出 等,
总后台,奖惩机制配置,进度统计口径,定义奖惩进度的统计口径,与招生目标口径一致 → 数据源同源,
总后台,奖惩机制配置,达标判定规则,达标/超额/未达档位规则,支持档位：未达 / 达成 / 超额 ≥110% / 超额 ≥130% 等可配置,
总后台,奖惩机制配置,奖励发放规则,奖励规则配置：奖金（乌兹别克苏姆）/排名/曝光,支持定额/比例/阶梯/封顶 → 与财务结算联动,
总后台,奖惩机制配置,惩罚动作规则,惩罚规则：扣减/降级/预警,可配置扣减比例与降级路径 → 触发后人工复核可豁免,
总后台,奖惩机制配置,自动结算,周期到达自动计算奖惩并预生成结算单,支持周/月/季/年（塔什干时间（乌兹别克））；预生成后由总部复核生效,
总后台,奖惩机制配置,申诉与复核,受罚方申诉与双人复核,受罚人提申诉 → 店长初审 → 总部双人复核 → 结果同步更新显示,
总后台,奖惩机制配置,奖惩历史档案,查看任意对象的奖惩历史,支持导出审计报表,
总后台,课程内容管理,课程创建,创建课程主数据（4 语言名称/简介）,课程要素：名称(4 语言)/分类/简介/讲师/试听片段/价格策略(乌兹别克苏姆)/有效期,
总后台,课程内容管理,章节管理,章节树管理与排序,支持多级章节 → 拖拽排序,
总后台,课程内容管理,视频上传与转码,上传视频并自动转码多清晰度,亚马逊云 对象存储 直传 → 云端视频转码 转码 多档清晰度（360p 至 1080p） → 亚马逊内容分发网络 CloudFront 分发 → 备选 Mux / Bunny 内容分发加速（独联体地区 地区表现好）,
总后台,课程内容管理,资料附件管理,上传课件/演示文稿/讲义/题包（多语言版本）,支持版本管理与上下架；同一资料可上传 俄/乌/英/中 多版本,
总后台,课程内容管理,课程价格策略,原价/会员价/分销价/拼团价/优惠区间（乌兹别克苏姆）,支持区域/渠道差异化定价 → 与营销中心联动,
总后台,课程内容管理,课程上下架,课程上架/下架/置灰,下架后已购学员仍可学，但新人不可见,
总后台,课程内容管理,试听片段配置,为课程配置试听片段（5-15 分钟）,支持自定义切片 → 上线前预览,
总后台,课程内容管理,字幕自动生成,录播/回放自动生成 4 语言字幕,亚马逊云 Transcribe / OpenAI 语音转写模型 Whisper 转写源语 → 机器翻译服务（DeepL / 谷歌等） 翻译到其它 3 语 → 字幕 网页字幕文件 文件存 对象存储 → 课程详情可挂载,
总后台,考试中心(总后台),题库录入,维护题库（4 语言题目）,支持批量导入 Excel → 自动检查唯一性；题干/选项/解析支持 4 语言版本,
总后台,考试中心(总后台),知识点标签,维护知识点标签树,标签可挂题 → 用于雷达图与学情分析,
总后台,考试中心(总后台),组卷策略,固定卷/随机卷/按知识点组卷,随机卷可设题量、难度配比、防雷同,
总后台,考试中心(总后台),考场创建,创建考场（线上/线下；塔什干时间（乌兹别克））,时长/开放窗口/参考名单/阅卷人/监考人,
总后台,考试中心(总后台),考试发布,审核并发布考场,发布后变更需总部审批 → 二次发布记录备查,
总后台,考试中心(总后台),监考与异常日志,查看监考异常并处理,异常等级：警告/可疑/重大 → 重大异常强制收卷 → 记录备查,
总后台,考试中心(总后台),阅卷分配,分配阅卷人与策略,支持双评/三评/仲裁 → 误差超阈值自动仲裁,
总后台,考试中心(总后台),补考策略,补考次数、补考证书等级映射,未及格学员检查补考额度 → 教务审批后开放,
总后台,证书中心-模板与规则,证书模板管理,维护结业/考试合格等证书模板（4 语言）,占位变量：姓名（4 语言转写规范）、课程、分数、日期、编号、签章；支持图片预览,
总后台,证书中心-模板与规则,发证规则引擎,配置自动/半自动发证条件,条件维度：完成度/出勤率/考试分数/补考次数；支持组合表达式,
总后台,证书中心-模板与规则,考试与证书绑定,考试场次→证书等级映射,及格档/良好档/优秀档 → 不同证书等级,
总后台,证书中心-模板与规则,补考证书策略,补考通过证书是否标注,配置是否在证书显示『补考通过』字样,
总后台,证书中心-编号与审计,证书编号规则,全局唯一证书编号规则,规则：机构码(UZ) + 年份 + 流水 + 检查码（Luhn 或自定义算法）,
总后台,证书中心-编号与审计,防伪校验码,为每张证书生成检查码,公开检查页通过编号+检查码可验真（4 语言展示）,
总后台,证书中心-编号与审计,签发与作废审计,记录签发人/时间/原因/导出,可导出审计报表 → 作废需双人复核可配置,
总后台,证书中心-编号与审计,待发证审核队列,审核教师/教务发起的发证提名,支持批量通过/驳回 → 驳回需填写原因,
总后台,证书中心-编号与审计,作废与重发,作废原证书并生成新编号,记录作废原因 → 原编号永久保留可查,
总后台,本地知识库(AI 学习助手),课程向量库管理,按课程/章节上传文档,支持 PDF 文档/Word/Markdown → 切片策略（固定/语义） → 嵌入模型版本管理（OpenAI text-embedding-3 / Cohere）,
总后台,本地知识库(AI 学习助手),索引重建,支持手动/定时重建索引,重建期间走旧索引兜底 → 完成后切换,
总后台,本地知识库(AI 学习助手),检索权限边界,定义学员可见片段与教师可扩展,权限：免费可见 / 已购可见 / 教师可见 / 内部可见；越权阻止并提示,
总后台,本地知识库(AI 学习助手),回答安全策略,适龄过滤、禁答题库、引用必显开关（4 语言词库）,禁答词库维护 → 匹配到走安全话术 → 引用必显可分课程开关,
总后台,本地知识库(AI 学习助手),效果评估,查看 AI 问答日均量、好评率、转人工率,支持下钻到课程/学员 → 用于知识库迭代,
总后台,AI 客服运营,客服 常见问题 知识库,维护退费/价目/政策/门店地址等 常见问题（4 语言）,结构化录入 → 多轮话术树 → 版本管理,
总后台,AI 客服运营,话术树设计,多轮话术树可视化设计,节点：判断/回复/转人工/工单 → 在线发布,
总后台,AI 客服运营,坐席工作台,排队/认领/协同/内部备注/快捷回复,对接 在线客服系统（Intercom 或 Freshdesk 等） → 支持多坐席协同 → 内部转交带上下文 → 俄/乌 客服分流,
总后台,AI 客服运营,质检与回流,抽样登录会话质检与优质回答入库,抽样比例可配 → 风险监控关键词匹配到强制人工复核,
总后台,AI 客服运营,服务承诺时限 与告警,客服响应 服务承诺时限 监控,超 服务承诺时限 Telegram 推送店长/区域经理,
总后台,分销中心,分销员准入与合同,教务/分店员工提交申请；总部审批；电子协议存档,审批流：分店初审 → 总部终审 → 电子签章存档（DocuSign 电子签 / 乌兹别克电子签章方式 e-IMZO 待选）,
总后台,分销中心,商品与佣金规则,可选课程/商品款号；首单/复购佣金（乌兹别克苏姆）；阶梯/封顶,支持定额/比例 + 多档阶梯 + 单笔/月度封顶,
总后台,分销中心,结算周期 成交后第 N 个工作日 配置,佣金结算周期 N 可配置,默认 T+30；可按分销员/课程差异化,
总后台,分销中心,归因规则,首次访问/首单/续费的归因策略,首访归因窗口 30 天；自购、亲属 邮箱、异常团单识别为风险,
总后台,分销中心,反作弊,异常订单识别与佣金冻结,维度：自购/同 邮箱 域/同设备/异常退款率高 → 自动冻结 + 人工复核,
总后台,分销中心,佣金台账,佣金状态机：待确认/已确认/已支付（乌兹别克苏姆）,状态变更需操作日志 → 退款自动扣回,
总后台,分销中心,结算与提现(Payme 或 Click 支付),佣金结算单生成与 Payme 或 Click 支付 商户提现,对接 Payme Payout / Click Merchant Payout → 检查银行卡 / Humo 或银行卡 → 单笔与日累计限额 → 成交后第 N 个工作日 结算,
总后台,分销中心,分销报表,按人/店/渠道统计曝光/线索/成交/佣金/投入产出（乌兹别克苏姆）,支持时间窗口与多维度透视,
总后台,分销中心,永久绑定规则,学员/家长一旦绑定分销员永久绑定,自购/退费/跨店成交等异常场景由反作弊规则处理 → 解绑走总部审核,
总后台,营销中心,优惠券中心,创建/编辑/停用优惠券（金额 乌兹别克苏姆）,券类型：满减/折扣/兑换；适用范围、领取条件、互斥规则,
总后台,营销中心,拼团中心,创建拼团活动,拼团 商品款号/人数/有效期/未满团退款 → 与订单中心联动,
总后台,营销中心,活动中心,创建多种营销活动,支持秒杀/限时折扣/早鸟价 → 时间窗口管理（塔什干时间（乌兹别克））,
总后台,营销中心,本地节假日营销日历,维护乌兹别克本地节假日营销日历,"节点：纳乌鲁孜节(Navruz, 3/21)、独立日(9/1)、开斋节(Eid al-Fitr)、宰牲节(Eid al-Adha)、宪法日(12/8)、新年等 → 模板与活动绑定",
总后台,营销中心,转介绍中心,设计转介绍奖励,推荐人/被推荐人奖励规则（乌兹别克苏姆） → 与永久绑定联动,
总后台,营销中心,Banner/Telegram Push 投放,学员端 Banner、Telegram Push 模板投放（4 语言）,支持人群圈选与 对照试验 实验 → 模板按收件人语言选择,
总后台,数据看板与 商业智能统计分析,集团运营总览,集团关键指标驾驶舱（金额 乌兹别克苏姆）,新生数/续费率/营收/分销 投入产出/客服满意度 → 默认按月（塔什干时间（乌兹别克））,
总后台,数据看板与 商业智能统计分析,分店多维对比,分店对比看板,支持横向多店对比与排名,
总后台,数据看板与 商业智能统计分析,课程/教师维度,课程与教师业绩看板,课程销量/续费率/学员评分/完课率；教师同维度,
总后台,数据看板与 商业智能统计分析,漏斗分析,招生-试听-成交-续费漏斗,支持渠道维度下钻,
总后台,数据看板与 商业智能统计分析,分销 投入产出,渠道/分销员 投入产出 看板,曝光-点击-注册-成交-佣金（乌兹别克苏姆） → 投入产出 计算,
总后台,数据看板与 商业智能统计分析,学员进退步趋势(集团),集团/分店/班级/个人多层下钻,维度：成绩/出勤/作业/观看时长/掌握度；周/月对比；可视化：折线 + 雷达；阈值告警可配,
总后台,学员档案与永久绑定,学员档案视图,总部可查看全集团学员档案,支持跨分店搜索 → 受权限控制,
总后台,学员档案与永久绑定,绑定关系审计,查看任意学员的绑定历史,操作人/时间/原因/审批链 → 不可删除,
总后台,学员档案与永久绑定,解绑审核,受理学员/家长解绑申请,总部审核唯一通道 → 双人复核 → 通过后保存新绑定,
总后台,学员档案与永久绑定,反作弊归因,处理跨店成交、自购、刷单等异常归因,走分销中心反作弊规则 → 必要时人工裁决,
总后台,消息中心（以 Telegram 为主通道）,消息模板管理,维护各类业务模板（4 语言）,类型：续费/上课/报告/督办/客服/营销；变量占位；同一模板维护 俄/乌/英/中 四份,
总后台,消息中心（以 Telegram 为主通道）,Telegram 机器人 接入,维护 机器人密钥、群组、频道、机器人菜单,支持多 Bot 用于不同业务线 → 安全密钥管理（云端密钥保险箱）,
总后台,消息中心（以 Telegram 为主通道）,Telegram 对话编号 验证流,用户绑定 Telegram 对话编号 的后台流程,生成一次性 临时口令 → 在机器人里发送验证指令 检查 → 保存 user_telegram 表 → 失败重发上限 3 次/小时,
总后台,消息中心（以 Telegram 为主通道）,发送通道矩阵,通道优先级：Telegram → 邮箱 → 苹果推送与安卓推送,通道开关与失败重试策略可配 → Telegram 优先；明确不接 短信,
总后台,消息中心（以 Telegram 为主通道）,发送日志,查看每条消息的发送结果,成功/失败/重试次数；支持按用户/类型/语言筛选,
总后台,消息中心（以 Telegram 为主通道）,失败重试与降级,失败时按策略重试与降级,Telegram 失败 3 次 → 邮箱 → 苹果推送与安卓推送；保存失败原因,
总后台,消息中心（以 Telegram 为主通道）,邮箱 兜底通道,对接 SendGrid / 亚马逊云 云平台邮件收发（亚马逊 SES 类）,邮箱防伪与域名可信三项配置 配置 → 4 语言模板 → 退订链接,
总后台,消息中心（以 Telegram 为主通道）,苹果推送与安卓推送 应用内推送,iOS 苹果推送通知 + Android 安卓推送通知,设备 临时口令 管理 → 静默推送 + 提示推送 → 按用户语言生成页面或文件,
总后台,消息中心（以 Telegram 为主通道）,多语言模板渲染,按收件人语言偏好选择模板,用户偏好 > 用户地区 > 平台默认 ru,
总后台,财务与结算,营收报表,集团/分店/课程营收报表（乌兹别克苏姆）,支持日/周/月/季/年汇总（塔什干时间（乌兹别克）） → 导出 Excel,
总后台,财务与结算,退款台账,退款记录与原因分析,支持按分店/课程/教师筛选；含 Payme 或 Click 支付 通道维度,
总后台,财务与结算,分销佣金结算单,生成佣金结算单与凭证,状态：待结算/已结算/已支付；导出 Payme 或 Click 支付 Payout 批扣文件,
总后台,财务与结算,奖惩资金流水,奖惩发放/扣减流水（乌兹别克苏姆）,与人事系统对接（可选）,
总后台,财务与结算,发票管理(乌兹别克增值税约 12%（增值税（QQS），税率以法务为准）),乌兹别克 乌兹别克增值税约 12%（增值税（QQS），税率以法务为准） 增值税电子发票管理,按乌兹别克税务部门要求生成 PDF 文档；红冲流程支持；具体税率与开票主体待法务确认,
总后台,财务与结算,Payme / Click 对账,与 Payme / Click 商户后台对账,每日定时拉取通道流水 → 与平台订单流水比对 → 差异工单,
总后台,运营营销-Banner & Push,学员端 Banner 投放,在学员端配置 Banner 轮播位（4 语言）,支持人群圈选、时段、跳转链接、对照试验 实验,
总后台,运营营销-Banner & Push,Telegram Push 任务,创建 Telegram 群发任务（4 语言模板）,人群圈选 + 模板 + 发送时间 + 失败重试策略,
总后台,运营营销-Banner & Push,活动效果分析,查看投放点击/转化/投入产出（乌兹别克苏姆）,归因到具体活动与人群,
系统后台,角色与权限,角色管理,维护学员/家长/教师/教务/店长/区域经理/总部管理员/财务/分销员等角色,角色继承与组合 → 同人多角色支持,
系统后台,角色与权限,权限矩阵,角色 × 资源 × 操作 三维权限矩阵,细到按钮级权限 → 支持数据级权限（仅看本店/本班）,
系统后台,角色与权限,员工账号管理,员工账号开通/停用/重置密码,停用时自动回收登录登录凭证,
系统后台,操作审计,全局操作日志,记录所有关键操作,包含登录、订单变更、绑定变更、奖惩、证书签发、知识库变更等,
系统后台,操作审计,敏感操作告警,敏感操作触发实时告警,如批量解绑、批量作废证书等 → Telegram 通知总部安全员,
系统后台,操作审计,审计报表导出,导出指定周期审计报表,支持加密压缩包导出,
系统后台,数据备份与恢复,自动备份策略,日全量 + 小时增量备份,保留 30 天近期 + 12 个月月备份；存于 亚马逊云 对象存储 跨可用区,
系统后台,数据备份与恢复,数据恢复演练,支持灾备恢复演练,季度演练 → 记录备查,
系统后台,数据备份与恢复,数据本地化策略,依乌兹别克 乌兹别克个人信息/数据权利相关法律 数据本地化要求评估,P0 缓解方案：亚马逊云 Frankfurt(法兰克福区域) 或 Mumbai(孟买区域) + 与本地合规方对接；若强制本地存储则评估本地 IDC；策略与备份分级落地,
系统后台,系统参数,全局参数配置,维护全局可配参数,如 Telegram 机器人密钥、各类阈值、归因窗口、服务承诺时限 等,
系统后台,系统参数,功能开关,灰度功能开关,按分店/角色/百分比灰度,
系统后台,系统参数,环境与多语言,多环境与 4 语言配置,环境：开发/测试/灰度/生产；语言：ru / uz / en / zh-CN（默认 ru）,
系统后台,系统参数,时区固定化,全局时区配置为 塔什干时间（乌兹别克） (塔什干时区（较世界协调时早 5 小时）),数据库 世界协调时 存储；展示/调度/统计统一 塔什干时间（乌兹别克）,
系统后台,系统参数,货币固定化,全局货币 乌兹别克苏姆 单币种,金额展示千分位（如 1 200 000 乌兹别克苏姆）；远期扩区可加 RUB/USD（开关位预留）,
系统后台,三方对接管理,Telegram 机器人 管理,管理 机器人密钥 / 群组 / 外部回调通知地址 / 对话编号 验证流,临时口令 加密存储（亚马逊云 云端密钥保险箱） → 操作需双因素认证,
系统后台,三方对接管理,支付通道管理(Payme / Click 等本地支付（含 Uzum / Humo / Uzcard / Apelsin，按阶段接入）),管理本地支付通道,Key/Secret 加密存储 → 切换通道记录备查 → 通道开关 + 限额,
系统后台,三方对接管理,亚马逊云 资源管理,管理 亚马逊云 S3/云端视频转码/亚马逊内容分发网络 CloudFront/云平台邮件收发（亚马逊 SES 类）/Transcribe 等,云平台访问密钥 加密存储 → 用量监控 → 区域：法兰克福区域 / 孟买区域 推荐,
系统后台,三方对接管理,直播 音视频互动组件 管理,管理 实时音视频服务（如声网等，按选型） 接入,回调地址/鉴权密钥/配额监控；独联体地区 节点覆盖,
系统后台,三方对接管理,AI 模型管理,管理 OpenAI / Anthropic Claude / Google Gemini 与 Embedding/语音转写模型 Whisper,模型切换/灰度/回退 → 调用配额监控 → 4 语言能力评估,
系统后台,三方对接管理,邮箱 通道管理(SendGrid 或云服务商邮箱接口),管理 邮箱 通道,邮箱防伪与域名可信三项配置 配置 → 模板报备 → 退信处理,
系统后台,三方对接管理,客服通道管理,管理 Intercom / Freshdesk,标准程序接口 临时口令 加密 → 登录会话同步 → 工单同步,
系统后台,三方对接管理,分析工具管理(Mixpanel/Amplitude/GA4),管理产品分析工具,事件命名规范 → 音视频互动组件 配置 → 隐私 Consent 联动,
系统后台,三方对接管理,电子签章管理,管理境外 DocuSign 电子签 / 乌兹别克 乌兹别克电子签章方式 e-IMZO（待定）,签章主体配置 → 证书签章存档,
系统后台,合规与隐私,个人信息授权清单,维护授权类型与文案（4 语言）,默认拒绝 + 显式同意 → 撤回机制；按 乌兹别克个人信息/数据权利相关法律 与 欧盟个人信息保护通用规则 兼容,
系统后台,合规与隐私,Cookie / 跟踪同意横幅,Web/H5 首次访问展示 Cookies 与统计营销同意条,分类：必要/统计/营销；用户选择前不加载非必要 音视频互动组件；选择记录记录备查,
系统后台,合规与隐私,数据导出与删除,学员/家长行使数据可携权与删除权,提交申请 → 7 个工作日内响应 → 留必要交易凭证（按税务）,
系统后台,合规与隐私,内容合规审查,对 AI 回答/直播/学员原创上传内容 进行合规审查（4 语言词库）,敏感词库 + 人工抽检 → 高风险阻止并提示,
系统后台,合规与隐私,未成年人保护策略(美国儿童上网隐私相关规则),未成年专项保护,强制家长 可核验 Consent → 时长限制 → 大额支付二次检查,
系统后台,合规与隐私,苹果「应用追踪透明度」提示,苹果 iOS14 及以上：首次须按系统弹出「是否允许广告追踪」询问（行业常用缩写 ATT）,首次启动追踪类用途前必须弹 苹果广告追踪授权 → 拒绝则关闭 苹果广告标识 采集 → 仍可走非追踪归因（第三方深度链接与归因服务 Branch 概率匹配）,
系统后台,合规与隐私,iOS 苹果隐私清单,iOS 17+ 隐私清单 苹果隐私配置文件,声明 音视频互动组件 使用数据类型与用途 → 关联三方 音视频互动组件 隐私 → 苹果应用商店 审核必备,
公共,通用能力,全局搜索,学员/订单/课程/证书等全局搜索（4 语言）,按权限范围检索 → 模糊匹配 + 高亮 → 支持 俄/乌/英/中 多语分词,
公共,通用能力,文件存储与 内容分发加速,统一文件存储与 内容分发加速 分发,亚马逊云 对象存储 + 亚马逊内容分发网络 CloudFront（备选 Bunny 内容分发加速，对 独联体地区 表现好） → 鉴权 链接地址,
公共,通用能力,敏感词库,全平台共用敏感词库（4 语言）,运营可配 → 实时生效,
公共,通用能力,国际化与时区(已固化),4 语言 + 塔什干时间（乌兹别克） 单时区,按用户偏好显示；新加语言/时区需走平台升级流程,
公共,通用能力,帮助中心,帮助文档与视频教程（4 语言）,按角色/端口分类 → 支持搜索,
公共,通用能力,版本更新公告,重要功能更新公告,弹窗或站内信 → 不强制确认可配,
公共,通用能力,水印与防截屏,重要页面水印（邮箱 哈希尾段）,证书页/直播页/课件页强水印,
公共,通用能力,接口与系统监控,全平台 服务承诺时限、错误率、调用量监控,异常 Telegram 告警 → 运维值班响应,
公共,通用能力,金额格式化工具,全平台 乌兹别克苏姆 金额展示工具方法,千分位（空格作分隔符）+ 小数 0 位 → 输出形如 1 200 000 乌兹别克苏姆,
公共,通用能力,日期/时间格式化工具,全平台 塔什干时间（乌兹别克） 时间展示工具,国际通用时间字符串格式 内部存储 世界协调时 → 展示 年-月-日 时:分 (塔什干时区（较世界协调时早 5 小时）) → 支持俄/乌/英/中本地格式,
